Uniq ID,City,Sub City,Food Rate,Staff Rate,Environment Rate,Latitude,Longitude,Image,Description,Restaurant name,Most reviewed foods
235,Trincomalee,Thambalagamuwa,4.1,3.6,4,8.4974,81.092,https://www.topasiatour.com/pic/sri-lanka/city/nuwara-eliya/guide/indian-summer-nuwara-eliya.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Amba Bliss Bistro,Prawn Curry
236,Trincomalee,Trincomalee,3.7,3.5,3.5,8.5874,81.2152,https://media-cdn.tripadvisor.com/media/photo-s/10/fc/06/24/restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Hangura Heights,Fish Rolls
237,Trincomalee,Verugal,3.5,2.5,3.4,8.2543,81.3712,https://nerdnomads.com/wp-content/uploads/2017/03/High_tea_Grand_Hotel_Nuwara_Eliya2.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Kothmale Kitchen,Kankun Mallung
238,Trincomalee,Kantalai,4.2,3.6,4.1,8.3513,81.007,https://c8.alamy.com/comp/H60X8G/local-eatery-nuwara-eliya-sri-lanka-H60X8G.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Misty Mornings Cafe,Green Bean Curry
239,Trincomalee,Kinniya,3.7,3.2,3.6,8.5025,81.1804,https://media-cdn.tripadvisor.com/media/photo-s/12/25/eb/51/queenswood-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Walapane Whispers,Mutton Curry
240,Trincomalee,Kuchchaveli,4.1,3.7,4,8.8214,81.0948,https://www.topasiatour.com/pic/sri-lanka/city/nuwara-eliya/guide/indian-summer-nuwara-eliya.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Amba Bliss Bistro,Prawn Vadai
241,Trincomalee,Morawewa,3.9,3.3,3.5,8.6279,81.0335,https://media-cdn.tripadvisor.com/media/photo-s/10/fc/06/24/restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Hangura Heights,Ceylon Tea
242,Trincomalee,Muttur,4.4,4,4.2,8.4579,81.2684,https://nerdnomads.com/wp-content/uploads/2017/03/High_tea_Grand_Hotel_Nuwara_Eliya2.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Kothmale Kitchen,Pineapple Curry
243,Trincomalee,Padavi Sri Pura,3.8,3.4,3.7,8.9328,80.8647,https://c8.alamy.com/comp/H60X8G/local-eatery-nuwara-eliya-sri-lanka-H60X8G.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Misty Mornings Cafe,Brinjal Moju
244,Trincomalee,Seruvila,4.3,3.8,4.2,8.3748,81.3152,https://media-cdn.tripadvisor.com/media/photo-s/12/25/eb/51/queenswood-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Walapane Whispers,Coconut Sambol
245,Trincomalee,Thambalagamuwa,4.1,3.6,4,8.4974,81.092,https://www.topasiatour.com/pic/sri-lanka/city/nuwara-eliya/guide/indian-summer-nuwara-eliya.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Amba Bliss Bistro,Crab Curry
246,Trincomalee,Trincomalee,3.7,3.5,3.5,8.5874,81.2152,https://media-cdn.tripadvisor.com/media/photo-s/10/fc/06/24/restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Hangura Heights,Dried Fish (Karawala)
247,Trincomalee,Verugal,3.5,2.5,3.4,8.2543,81.3712,https://nerdnomads.com/wp-content/uploads/2017/03/High_tea_Grand_Hotel_Nuwara_Eliya2.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Kothmale Kitchen,Fish Soup
248,Trincomalee,Kantalai,4.2,3.6,4.1,8.3513,81.007,https://c8.alamy.com/comp/H60X8G/local-eatery-nuwara-eliya-sri-lanka-H60X8G.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Misty Mornings Cafe,Dosa
249,Trincomalee,Kinniya,3.7,3.2,3.6,8.5025,81.1804,https://planeterra.org/wp-content/uploads/2020/07/72.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Walapane Whispers,Sambol Sandwich
250,Trincomalee,Kuchchaveli,4.1,3.7,4,8.8214,81.0948,https://windloft-retreat.kandyhotelsnow.com/data/Pics/OriginalPhoto/1743/174315/174315870/windloft-retreat-hotel-deltota-pic-20.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Addala Flavors,Thosai (Dosai)
251,Trincomalee,Morawewa,3.9,3.3,3.5,8.6279,81.0335,https://the-kandy-samadhicentre-hotel-digana.booked.net/data/Photos/OriginalPhoto/11851/1185106/1185106174/The-Kandy-Samadhicentre-Hotel-Narampanawa-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Sthree,Ambul Thiyal
252,Trincomalee,Muttur,4.4,4,4.2,8.4579,81.2684,https://youimg1.tripcdn.com/target/ww0n1f000001gp024FA11.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Windloft Retreat,Beetroot Curry
253,Trincomalee,Padavi Sri Pura,3.8,3.4,3.7,8.9328,80.8647,https://lh3.googleusercontent.com/p/AF1QipPk4umkDKKATDjIe34frEsTm-0JxNVdUc5_h15u=s1600-h380,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Samadhi Restaurant ,Tomato Curry
254,Trincomalee,Seruvila,4.3,3.8,4.2,8.3748,81.3152,https://q-xx.bstatic.com/xdata/images/hotel/max1000/386328511.jpg?k=b0d93e195220f5bdcfc76903ea294b0e0839402abe5f9b097892c7cff172ad5c,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Botanic Gardens Restaurant & Cafe,Fish Stew
255,Trincomalee,Thambalagamuwa,4.1,3.6,4,8.4974,81.092,https://www.yamu.lk/wp-content/uploads/2022/02/podium-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Edan Rest,Aasmi
256,Trincomalee,Trincomalee,3.7,3.5,3.5,8.5874,81.2152,https://www.lankanames.lk/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-29-at-10.06.13-AM-1-768x1024.jpeg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Brick House,Eggplant Curry
257,Trincomalee,Verugal,3.5,2.5,3.4,8.2543,81.3712,https://i.travelapi.com/lodging/16000000/15450000/15440300/15440298/4d5a7108_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Podium Restaurant & Bar,Fish Biriyani
258,Anuradhapura,Galnewa ,3.5,3.8,4.1,8.0369,80.4725,https://absolutesrilanka.asia/files/accommodation/246/gallery/5581c1e561fb.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yewon Restaurant & Bakers in Kundasale,Ambarella Curry
259,Anuradhapura,Galenbindunuwewa,4.2,3.2,3.7,8.2921,80.7173,https://media-cdn.tripadvisor.com/media/photo-s/16/0a/b4/dc/hotel-garcinia-leaf.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Santani Wellness ,Pumpkin Curry
260,Anuradhapura,Horowpothana ,3.8,4,4.3,8.5501,80.8326,https://i.travelapi.com/lodging/45000000/44810000/44801400/44801386/030d0cdb_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Palm Paradise,Chicken Stew
261,Anuradhapura,Ipalogama,4,3.9,4,8.065,80.5355,https://plantation-retreat-holiday-home-wattegama.booked.net/data/Photos/OriginalPhoto/7807/780781/780781536/Plantation-Retreat-Hotel-Pathadumbara-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Garcinia Leaf,Eggplant Moju
262,Anuradhapura,Kahatagasdigiliya,4.5,4.1,4.4,8.423,80.6937,https://q-xx.bstatic.com/xdata/images/hotel/840x460/85506741.jpg?k=940d2487b080ea2f539e6f7efb4e6572538c861cb4d31b1c8e604a51cf4450a6&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Okwin Resort,Cassava Curry
263,Anuradhapura,Kebithigollewa ,3.6,2.9,3.1,8.6396,80.6715,https://danisco-leisure-bunglow-kandy.booked.net/data/Photos/OriginalPhoto/12968/1296844/1296844714/Danisco-Leisure-Bunglow-Hotel-Kandy-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Plantation Retreat Restaurant,Palak Curry
264,Anuradhapura,Kekirawa,3.9,3.5,3.6,8.0421,80.5938,https://q-xx.bstatic.com/xdata/images/hotel/max1000/459903826.jpg?k=60cac6e6777543618da7b09081a673d0d02eaf2b140433a49f05fd6c235bfcf7,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.", Dine N Rest,Fish Tofu
265,Anuradhapura,Mahavilachchiya,4.1,3.7,3.9,8.4708,80.2098,https://aff.bstatic.com/images/hotel/max500/877/87767413.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Danisco Leisure,String Hopper Kottu
266,Anuradhapura,Medawachchiya,3.3,2.8,3.2,8.5375,80.491,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8c/e7/6a/h2o-hotel-and-coffee.jpg?w=600&h=400&s=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Mangala Lodge Restaurant,Rendang
267,Anuradhapura,Mihinthale,4.2,3.5,3.8,8.3585,80.5117,https://media-cdn.tripadvisor.com/media/photo-s/15/54/8a/09/ruf-reisen-student-group.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Priyangi Hills,Fish Porridge
268,Anuradhapura,Nachchadoowa,4.2,3.6,4.1,8.2555,80.4827,https://q-xx.bstatic.com/xdata/images/hotel/max500/344866386.jpg?k=c094d50852d0e70fe937ff195873f4a0ada52a275d72501f8fc033c17089cbce&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Royal Mount,Amba Maluwa
269,Anuradhapura,Nochchiyagama,3.7,3.2,3.6,8.2926,80.2266,https://planeterra.org/wp-content/uploads/2020/07/72.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Tango Rest,Banana Fritters (Kesel Muwa)
270,Anuradhapura,Nuwaragam Palatha Central ,4.1,3.7,4,8.3704,80.4007,https://windloft-retreat.kandyhotelsnow.com/data/Pics/OriginalPhoto/1743/174315/174315870/windloft-retreat-hotel-deltota-pic-20.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Peak Residence,Black Pork Curry
271,Anuradhapura,Nuwaragam Palatha East,3.9,3.3,3.5,8.3241,80.4141,https://the-kandy-samadhicentre-hotel-digana.booked.net/data/Photos/OriginalPhoto/11851/1185106/1185106174/The-Kandy-Samadhicentre-Hotel-Narampanawa-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Sthree,Papadam
272,Anuradhapura,Padaviya ,4.4,4,4.2,8.8341,80.7607,https://youimg1.tripcdn.com/target/ww0n1f000001gp024FA11.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Windloft Retreat,Fish Roti
273,Anuradhapura,Palagala,3.8,3.4,3.7,7.9475,80.5202,https://lh3.googleusercontent.com/p/AF1QipPk4umkDKKATDjIe34frEsTm-0JxNVdUc5_h15u=s1600-h380,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Samadhi Restaurant ,Beef Biriyani
274,Anuradhapura,Palugaswewa,4.3,3.8,4.2,8.0604,80.6882,https://q-xx.bstatic.com/xdata/images/hotel/max1000/386328511.jpg?k=b0d93e195220f5bdcfc76903ea294b0e0839402abe5f9b097892c7cff172ad5c,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Botanic Gardens Restaurant & Cafe,Eggplant Salad (Wambatu Sambol)
275,Anuradhapura,Rajanganaya ,4.1,3.6,4,8.1657,80.1964,https://www.yamu.lk/wp-content/uploads/2022/02/podium-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Edan Rest,Potato Curry
276,Anuradhapura,Rambewa ,3.7,3.5,3.5,8.4401,80.5049,https://www.lankanames.lk/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-29-at-10.06.13-AM-1-768x1024.jpeg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Brick House,Pol Roti
277,Anuradhapura,Thalawa ,3.5,2.5,3.4,8.149,80.4089,https://i.travelapi.com/lodging/16000000/15450000/15440300/15440298/4d5a7108_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Podium Restaurant & Bar,Chicken Kottu Roti
278,Anuradhapura,Thambuttegama,3.5,3.8,4.1,8.1613,80.3001,https://absolutesrilanka.asia/files/accommodation/246/gallery/5581c1e561fb.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yewon Restaurant & Bakers in Kundasale,Garlic Curry
279,Anuradhapura,Thirappane,4.2,3.2,3.7,8.222,80.5226,https://media-cdn.tripadvisor.com/media/photo-s/16/0a/b4/dc/hotel-garcinia-leaf.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Santani Wellness ,Seeni Sambol
280,Anuradhapura,Galnewa ,3.5,3.8,4.1,8.0369,80.4725,https://i.travelapi.com/lodging/45000000/44810000/44801400/44801386/030d0cdb_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Palm Paradise,Fish Head Curry
281,Anuradhapura,Galenbindunuwewa,4.2,3.2,3.7,8.2921,80.7173,https://plantation-retreat-holiday-home-wattegama.booked.net/data/Photos/OriginalPhoto/7807/780781/780781536/Plantation-Retreat-Hotel-Pathadumbara-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Garcinia Leaf,Jaffna Crab Curry
282,Anuradhapura,Horowpothana ,3.8,4,4.3,8.5501,80.8326,https://q-xx.bstatic.com/xdata/images/hotel/840x460/85506741.jpg?k=940d2487b080ea2f539e6f7efb4e6572538c861cb4d31b1c8e604a51cf4450a6&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Okwin Resort,White Rice and Curry
283,Anuradhapura,Ipalogama,4,3.9,4,8.065,80.5355,https://danisco-leisure-bunglow-kandy.booked.net/data/Photos/OriginalPhoto/12968/1296844/1296844714/Danisco-Leisure-Bunglow-Hotel-Kandy-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Plantation Retreat Restaurant,Thambili (King Coconut) Juice
284,Anuradhapura,Kahatagasdigiliya,4.5,4.1,4.4,8.423,80.6937,https://q-xx.bstatic.com/xdata/images/hotel/max1000/459903826.jpg?k=60cac6e6777543618da7b09081a673d0d02eaf2b140433a49f05fd6c235bfcf7,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.", Dine N Rest,Crab Kottu Roti
285,Anuradhapura,Kebithigollewa ,3.6,2.9,3.1,8.6396,80.6715,https://aff.bstatic.com/images/hotel/max500/877/87767413.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Danisco Leisure,Fish Ball Curry
286,Anuradhapura,Kekirawa,3.9,3.5,3.6,8.0421,80.5938,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8c/e7/6a/h2o-hotel-and-coffee.jpg?w=600&h=400&s=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Mangala Lodge Restaurant,Mutton Kottu Roti
287,Anuradhapura,Mahavilachchiya,4.1,3.7,3.9,8.4708,80.2098,https://media-cdn.tripadvisor.com/media/photo-s/15/54/8a/09/ruf-reisen-student-group.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Priyangi Hills,Pepper Pork Curry
288,Anuradhapura,Medawachchiya,3.3,2.8,3.2,8.5375,80.491,https://q-xx.bstatic.com/xdata/images/hotel/max500/344866386.jpg?k=c094d50852d0e70fe937ff195873f4a0ada52a275d72501f8fc033c17089cbce&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Royal Mount,Ceylon Cinnamon Tea
289,Anuradhapura,Mihinthale,4.2,3.5,3.8,8.3585,80.5117,https://planeterra.org/wp-content/uploads/2020/07/72.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Tango Rest,Breadfruit Curry
290,Anuradhapura,Nachchadoowa,4.2,3.6,4.1,8.2555,80.4827,https://windloft-retreat.kandyhotelsnow.com/data/Pics/OriginalPhoto/1743/174315/174315870/windloft-retreat-hotel-deltota-pic-20.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Peak Residence,Fish Tagine
291,Anuradhapura,Nochchiyagama,3.7,3.2,3.6,8.2926,80.2266,https://the-kandy-samadhicentre-hotel-digana.booked.net/data/Photos/OriginalPhoto/11851/1185106/1185106174/The-Kandy-Samadhicentre-Hotel-Narampanawa-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Sthree,Nai Miris (Bird's Eye Chili) Sambol
292,Anuradhapura,Nuwaragam Palatha Central ,4.1,3.7,4,8.3704,80.4007,https://youimg1.tripcdn.com/target/ww0n1f000001gp024FA11.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Windloft Retreat,Pork Kottu Roti
293,Anuradhapura,Nuwaragam Palatha East,3.9,3.3,3.5,8.3241,80.4141,https://lh3.googleusercontent.com/p/AF1QipPk4umkDKKATDjIe34frEsTm-0JxNVdUc5_h15u=s1600-h380,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Samadhi Restaurant ,Seer Fish Curry
294,Anuradhapura,Padaviya ,4.4,4,4.2,8.8341,80.7607,https://q-xx.bstatic.com/xdata/images/hotel/max1000/386328511.jpg?k=b0d93e195220f5bdcfc76903ea294b0e0839402abe5f9b097892c7cff172ad5c,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Botanic Gardens Restaurant & Cafe,Ceylon Green Tea
295,Anuradhapura,Palagala,3.8,3.4,3.7,7.9475,80.5202,https://www.yamu.lk/wp-content/uploads/2022/02/podium-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Edan Rest,Gotukola Sambol
296,Anuradhapura,Palugaswewa,4.3,3.8,4.2,8.0604,80.6882,https://www.lankanames.lk/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-29-at-10.06.13-AM-1-768x1024.jpeg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Brick House,Chicken Tagine
297,Anuradhapura,Rajanganaya ,4.1,3.6,4,8.1657,80.1964,https://i.travelapi.com/lodging/16000000/15450000/15440300/15440298/4d5a7108_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Podium Restaurant & Bar,Polos Curry
298,Anuradhapura,Rambewa ,3.7,3.5,3.5,8.4401,80.5049,https://absolutesrilanka.asia/files/accommodation/246/gallery/5581c1e561fb.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yewon Restaurant & Bakers in Kundasale,Dry Fish Curry
299,Anuradhapura,Thalawa ,3.5,2.5,3.4,8.149,80.4089,https://media-cdn.tripadvisor.com/media/photo-s/16/0a/b4/dc/hotel-garcinia-leaf.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Santani Wellness ,Beeralu Lace 
300,Anuradhapura,Thambuttegama,3.5,3.8,4.1,8.1613,80.3001,https://i.travelapi.com/lodging/45000000/44810000/44801400/44801386/030d0cdb_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Palm Paradise,Fruit Salad
301,Anuradhapura,Thirappane,4.2,3.2,3.7,8.222,80.5226,https://plantation-retreat-holiday-home-wattegama.booked.net/data/Photos/OriginalPhoto/7807/780781/780781536/Plantation-Retreat-Hotel-Pathadumbara-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Garcinia Leaf,Rice and Curry
302,Anuradhapura,Galnewa ,3.5,3.8,4.1,8.0369,80.4725,https://q-xx.bstatic.com/xdata/images/hotel/840x460/85506741.jpg?k=940d2487b080ea2f539e6f7efb4e6572538c861cb4d31b1c8e604a51cf4450a6&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Okwin Resort,Hoppers (Appa)
303,Anuradhapura,Galenbindunuwewa,4.2,3.2,3.7,8.2921,80.7173,https://danisco-leisure-bunglow-kandy.booked.net/data/Photos/OriginalPhoto/12968/1296844/1296844714/Danisco-Leisure-Bunglow-Hotel-Kandy-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Plantation Retreat Restaurant,Kottu Roti
304,Anuradhapura,Horowpothana ,3.8,4,4.3,8.5501,80.8326,https://q-xx.bstatic.com/xdata/images/hotel/max1000/459903826.jpg?k=60cac6e6777543618da7b09081a673d0d02eaf2b140433a49f05fd6c235bfcf7,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.", Dine N Rest,String Hoppers (Idiyappam)
305,Anuradhapura,Ipalogama,4,3.9,4,8.065,80.5355,https://aff.bstatic.com/images/hotel/max500/877/87767413.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Danisco Leisure,Pol Sambol
306,Anuradhapura,Kahatagasdigiliya,4.5,4.1,4.4,8.423,80.6937,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8c/e7/6a/h2o-hotel-and-coffee.jpg?w=600&h=400&s=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Mangala Lodge Restaurant,Lamprais
307,Anuradhapura,Kebithigollewa ,3.6,2.9,3.1,8.6396,80.6715,https://media-cdn.tripadvisor.com/media/photo-s/15/54/8a/09/ruf-reisen-student-group.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Priyangi Hills,Devilled dishes
308,Anuradhapura,Kekirawa,3.9,3.5,3.6,8.0421,80.5938,https://q-xx.bstatic.com/xdata/images/hotel/max500/344866386.jpg?k=c094d50852d0e70fe937ff195873f4a0ada52a275d72501f8fc033c17089cbce&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Royal Mount,Biryani
309,Anuradhapura,Mahavilachchiya,4.1,3.7,3.9,8.4708,80.2098,https://media-cdn.tripadvisor.com/media/photo-s/14/aa/c7/53/curry-deserts.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Tango Rest,Pittu
310,Anuradhapura,Medawachchiya,3.3,2.8,3.2,8.5375,80.491,https://assets.traveltriangle.com/blog/wp-content/uploads/2018/09/Rithu-Restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Peak Residence,Watalappan
311,Anuradhapura,Mihinthale,4.2,3.5,3.8,8.3585,80.5117,https://media-cdn.tripadvisor.com/media/photo-p/27/a9/1f/34/the-garlic-cafe-by-jana.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Ambalama Kele,Parippu (Dal Curry)
312,Anuradhapura,Nachchadoowa,4.2,3.6,4.1,8.2555,80.4827,https://media-cdn.tripadvisor.com/media/photo-s/0f/65/f7/b9/photo1jpg.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Rithu Restaurant,Gotu Kola Sambol
313,Anuradhapura,Nochchiyagama,3.7,3.2,3.6,8.2926,80.2266,https://media-cdn.tripadvisor.com/media/photo-s/1a/b6/3d/9b/happy-travelers-discover.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Garlic Cafe,Chicken Curry
314,Anuradhapura,Nuwaragam Palatha Central ,4.1,3.7,4,8.3704,80.4007,https://media-cdn.tripadvisor.com/media/photo-s/14/aa/c6/f3/buffet-sri-lankan-lunch.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Friendo,Fish Ambul Thiyal
